33319,154,137811
131760,154,93774
36213,153,543063
35686,153,269451
42057,152,26932
837321,151,18969
33197,151,2350415
13266,151,161284
33260,150,354089
100797952,150,1547148
33261,149,111485
948,148,557980
41222,148,851916
36032,148,81771
35662,148,46604
33134,148,83853
32978,148,111978
33645,147,54845
24782,147,53425
49711,146,854464
33329,146,94079
39778,144,471578
71904,143,1206187
66525,143,911451
32882,143,9320570
9583096,142,154489
34961,142,54055
1573931,141,46367
33516,140,139556
33499,140,73508
32961,140,59850
34545,139,56546
33393,139,22469
413806,138,16608
36596,138,138024
38562,137,821461
137382,137,66567
12757512,137,6677
40930,136,230438
33533,136,388662
38465,135,193278
48602,134,132448
42335,134,1930777
36502,134,56571
888392,133,230542
8694272,133,118194
34501,133,38972
66396,132,113704
34514,132,76789
32996,132,53658
38148,131,141878
36048,131,19383689
33354,131,145101
33382,130,30403
33121,130,303388
32888,130,600449
38926,129,157228
38913,129,92682
37765,129,25183
33496,129,60630
3244,129,351180
652621,128,148024
32964,128,196104
42090,127,90655
32822,127,475127
37772,126,291302
12624112,126,153988
36024,125,264615
34418,125,116860
1728029,125,205154
36944,124,186794
33474,124,26948
21460,124,45932
33194,123,624879
33016,123,301700
33471,122,102562
212632,122,420814
12436,122,128424
39905,121,79128
33201,121,1667179
81143,120,57007
34002,119,24054
33029,119,82144
32991,118,204533
32810,118,274034
150316,118,151592
37663,117,130099
35731,117,308454
33661,117,118473
12587208,117,29478
38308,116,28054
33647,116,859061
32778,116,75981
104293,116,43544
38315,115,485475
36455,115,26079
40795,114,190323
3553,114,148978
35259,114,141751
34443,114,23442
37070,113,1677604
36461,113,18375
33147,113,68057
2620922,113,15429
33344,112,769941
33005,112,1526493
17789,111,231335
8559616,110,121164
4232,110,225471
35296,110,190138
33032,110,30801
36946,109,629787
35955,109,149992
204654,109,141149
1250196,109,33203
12364,109,258082
75272,108,91389
35183,108,20801
50877,107,36382
35716,107,17317
32952,107,45810
12751464,107,31568
98380,106,191951
34425,106,47439
26097136,106,34984
5218,105,119653
408306,105,823338
33459,105,23261
49606,104,322849
34378,104,32052
32914,104,141860
1058816,104,74358
38295,103,886177
36305,103,72390
33388,103,33383
33161,103,168587
132424,103,121906
39272,102,1422958
33687,102,340721
14165584,102,110331
40591,101,468423
33018,101,31182
12592248,101,37854
67262,100,294218
49409,100,201348
41059,100,25772
3277030,100,17075
35420,99,86479
34388,99,40924
34054,99,31555
12732168,99,313464
40081,98,150398
35353,98,15243
34502,98,238065
34028,98,97248
33381,98,17990
295862,98,3055300
13614320,98,590920
36410,97,15164
34151,97,209856
36956,96,414400
35310,96,169087
4868,95,68236
36377,95,50159
13010400,95,54640
41601,94,116676
37734,94,423905
37540,94,786207
35231,94,25722
33367,94,113750
