32888,771,2228493
33026,768,3747078
106450,757,3582139
41848,749,4758724
37765,747,5267258
40046,725,1092619
43501,722,1288903
34478,716,2809647
33406,712,1894402
32995,699,774157
33345,694,1126306
39992,693,3202764
33154,693,7519777
33391,691,8800761
33344,670,4821655
851742,666,1021335
33533,657,2234233
41346,650,10310412
3404960,650,3533760
32916,650,2165123
36032,648,1107049
32988,640,1543772
32903,640,6754778
33079,633,13955702
33751,629,1750011
73873,627,371837
79443,625,827395
33117,618,818696
4865,602,1206787
53560,591,5704159
53020,589,2040095
32978,589,1010462
26131,589,1226583
40035,588,2281841
2433,584,1920035
43497,582,1000113
137207,574,7058152
32879,571,1325782
40732,544,2125416
39004,544,83736
32863,538,1522047
33279,534,3291802
35344,523,2698044
37433,520,2445239
32865,518,703292
77211,516,1765366
33125,516,2766348
34372,512,2931124
32772,511,521653
34375,507,1074263
33446,505,938861
33003,502,979899
425222,499,3247245
40999,499,1219967
34968,499,3146837
1180314,495,1552829
33366,492,1038351
35982,490,300378
590159,487,1062719
32852,487,3151034
16399,485,2412170
33194,484,1421164
32961,484,1702437
38310,483,1142155
39927,482,2237808
132353,472,1907646
33687,471,4100200
34457,467,1199598
33021,467,2294264
32885,467,3520057
35301,465,619530
43492,461,1661008
32911,460,215520
32896,458,303808
12633464,458,771802
66525,454,1409333
24799,449,11380017
39259,448,7679789
43490,444,2983592
32890,440,401613
49730,439,140259
33765,433,3720117
33089,432,2519536
36257,431,1260177
32973,431,9005758
33492,430,931584
38919,427,871341
887331,424,5549523
33261,423,4640492
12605536,420,48642
49419,415,1610193
33336,413,34226
65570,411,272382
12592272,411,50897
35223,407,616376
36020,406,3115072
147539,405,1252573
43498,401,2243559
33371,400,2160830
33032,400,850095
16761,398,3277069
26154,396,1344210
34497,394,7273828
34033,388,449420
33471,387,913609
32919,387,708021
33519,386,705854
32914,386,568884
1616808,386,1862632
33525,382,1057110
38935,381,1189793
10121,379,713740
33025,378,687149
35351,374,800077
12584392,374,398734
43099,373,3936404
36309,373,896141
40922,371,4193853
12367,370,9914860
33437,369,741256
212632,363,675682
35438,362,2768744
37949,360,1605621
52635,359,411523
34027,359,905227
24787,358,333727
38286,357,824114
33517,356,387911
4166040,353,2813100
33783,351,364738
19479,351,329814
36094,350,788710
39272,348,2065724
43499,345,643564
33109,345,435672
32942,345,668551
39962,342,1903020
34465,342,4239712
36502,339,323200
40034,338,465103
49169,337,1872794
66696,335,239132
50876,334,1717048
33381,333,1003466
156275,330,342015
66146,327,7915950
32882,327,744223
32851,325,209988
32814,325,255633
38650,324,983366
34392,324,2119940
33407,323,1790903
33124,317,650849
32778,316,94932
34030,315,1076575
37973,314,2333772
789202,312,1862081
52326,310,681397
66658,306,7140107
36313,305,580981
9576,304,2613133
1197887,304,6198543
9583096,303,371655
42060,301,1853552
33131,298,429923
33354,296,716727
32939,295,468972
6390136,294,413825
37563,293,2521299
67262,292,2664131
34028,292,1513034
33495,287,313359
12364,285,5808209
38926,283,660239
84728,282,1915375
39140,282,1869508
4868,281,473944
34443,281,698714
34425,280,558927
37685,278,1048403
33506,278,2279613
32974,277,3159167
33975,276,1903593
41248,275,1603724
32910,275,82984
153055,274,2209075
37383,273,4494550
33197,273,1555479
32931,273,271305
35530,271,751670
33266,271,961431
33121,269,623900
221460,269,357657
39717,268,188912
34000,268,2435370
32881,268,2410435
40584,265,4248702
265381,264,781575
12978152,264,3283079
37620,263,1083188
35511,260,725497
408306,259,1090999
110910,258,925048
38465,257,1498372
38274,257,3552145
169459,255,5557145
13002392,254,1174252
34343,252,789211
814366,248,3092503
50770,248,397103
36092,248,10179519
338916,248,2421735
34502,247,472182
32994,247,346889
33629,245,1174573
32968,243,319820
42436,242,590639
36308,240,314361
16632,238,23060107
12591368,237,17030
56185,234,905073
34428,233,1742685
53157,232,433327
38313,232,1081179
12617608,231,157493
40283,230,83725
33319,230,894931
67342592,227,35632
273246,227,1755995
24782,227,247684
142641,226,1048743
43743,223,577195
576320,222,739116
105804,222,1904092
33488,221,360752
36306,219,624480
1683963,219,211011
13408560,219,337302
38599,215,3044094
38535,214,182406
36066,213,527476
33997,212,3410355
35731,211,1068494
33462,211,830858
33388,211,1191431
79422,210,354000
38601,210,2700543
76619,209,1627402
33020,209,526782
43500,207,253838
36982,207,171381
33393,207,603847
33298,206,756175
39229120,204,3608978
33368,204,1899537
413806,201,1181525
35724,201,922388
32966,200,464236
42446,199,35170
35218,199,1042573
38913,197,222594
12620472,197,2548958
35236,195,160763
33096,195,566460
33707,194,264075
35298,192,1253533
36051,191,77868
37358,190,2013302
33788,190,294890
49614,188,113470
40569,188,146800
366331,188,26440
34458,188,405874
33934,188,1433366
141531,187,33680
273626,186,2377507
204073,186,2158134
39815,182,6122078
48602,181,630990
33738,181,255817
39732,180,5389678
38308,180,402417
35182,180,256592
32872,180,1209167
33295,179,1083381
32963,178,184675
221822,178,595929
36740,177,1589004
17346,177,1838457
40047,176,258494
36024,176,1244952
37988,174,665035
33029,174,166377
386323,172,134154
